id,province,total_doses,AstraZeneca,Pfizer,Sinovac,Sinopharm,Moderna,Johnson_Johnson,date
1,Krabi,820698,349625,162652,245726,53053,9642,0,2022-03-05 23:15:00
2,Bangkok,23989865,12299551,4879353,2606270,2501415,1700153,2450,2022-03-05 23:15:00
3,Kanchanaburi,1203171,362197,241846,255756,335557,7490,325,2022-03-05 23:15:00
4,Kalasin,1176858,416821,367937,324447,38289,29364,0,2022-03-05 23:15:00
5,Kamphaeng Phet,950730,342334,253511,262134,81305,11446,0,2022-03-05 23:15:00
6,Khon Kaen,2660141,814808,760366,655785,304362,124533,287,2022-03-05 23:15:00
7,Chanthaburi,989731,366701,227312,273465,86901,35352,0,2022-03-05 23:15:00
8,Chachoengsao,1565250,706381,353894,269270,152366,83339,0,2022-03-05 23:15:00
9,Chonburi,4771401,1560684,1072162,763324,1232641,141253,1337,2022-03-05 23:15:00
10,Chainat,461672,153280,105839,128323,67823,6407,0,2022-03-05 23:15:00
11,Chaiyaphum,1412373,507230,389981,430495,62862,21805,0,2022-03-05 23:15:00
12,Chumphon,853987,302536,193189,196343,129643,32276,0,2022-03-05 23:15:00
13,Chiang Rai,2093593,748530,547943,456558,236909,103639,14,2022-03-05 23:15:00
14,Chiang Mai,3737166,1303965,949088,805433,463523,214312,747,2022-03-05 23:15:00
15,Trang,1072794,259712,286849,266565,231381,28287,0,2022-03-05 23:15:00
16,Trat,404834,143626,93851,103906,62405,1046,0,2022-03-05 23:15:00
17,Tak,996455,383367,232461,298701,44597,37329,0,2022-03-05 23:15:00
18,Nakhon Nayok,384179,134031,107747,91277,40393,10731,0,2022-03-05 23:15:00
19,Nakhon Pathom,1642274,630238,474694,278649,240191,18502,0,2022-03-05 23:15:00
20,Nakhon Phanom,921041,299023,302540,235430,67526,16522,0,2022-03-05 23:15:00
21,Nakhon Ratchasima,4135228,1364688,1055334,1209530,428825,76851,0,2022-03-05 23:15:00
22,Nakhon Si Thammarat,2305880,929338,532748,593184,229840,20770,0,2022-03-05 23:15:00
23,Nakhon Sawan,1512840,582367,297218,406374,193948,32933,0,2022-03-05 23:15:00
24,Nonthaburi,3025318,1193804,746673,583671,221191,279978,1,2022-03-05 23:15:00
25,Narathiwat,847498,281718,366691,183448,8083,7558,0,2022-03-05 23:15:00
26,Nan,779592,294916,259163,183449,36170,5894,0,2022-03-05 23:15:00
27,Bueng Kan,489294,176370,141801,134704,20628,15791,0,2022-03-05 23:15:00
28,Buriram,2281862,982398,588861,659344,16161,35098,0,2022-03-05 23:15:00
29,Pathum Thani,3071031,904413,501299,305941,1182790,176565,23,2022-03-05 23:15:00
30,Prachuap Khiri Khan,982360,362985,167706,243399,179381,28331,558,2022-03-05 23:15:00
31,Prachinburi,900648,274311,177934,196393,210051,41959,0,2022-03-05 23:15:00
32,Pattani,786064,287090,304476,185289,7910,1299,0,2022-03-05 23:15:00
33,Phra Nakhon Si Ayutthaya,1671446,482115,471699,220617,403110,93905,0,2022-03-05 23:15:00
34,Phayao,728580,243084,221002,223504,22244,18746,0,2022-03-05 23:15:00
35,Phang Nga,516780,232528,107674,157087,16324,3167,0,2022-03-05 23:15:00
36,Phatthalung,715932,277873,158052,232440,29597,17970,0,2022-03-05 23:15:00
37,Phichit,713057,230567,195410,190061,82628,14391,0,2022-03-05 23:15:00
38,Phitsanulok,1375045,412334,391670,376927,154157,39957,0,2022-03-05 23:15:00
39,Phetchaburi,839867,368024,165866,207101,85257,13619,0,2022-03-05 23:15:00
40,Phetchabun,1394967,471021,453968,359494,96766,13718,0,2022-03-05 23:15:00
41,Phrae,647036,250004,177836,158870,43457,16869,0,2022-03-05 23:15:00
42,Phuket,1404777,472754,197619,696305,8654,28748,697,2022-03-05 23:15:00
43,Maha Sarakham,1272578,450980,401526,387060,12211,20801,0,2022-03-05 23:15:00
44,Mukdahan,500130,184737,155501,121879,20800,17213,0,2022-03-05 23:15:00
45,Mae Hong Son,360753,146099,99943,93691,19929,1091,0,2022-03-05 23:15:00
46,Yasothon,707391,233556,231064,189832,31596,21343,0,2022-03-05 23:15:00
47,Yala,706376,226004,226562,130953,118784,4073,0,2022-03-05 23:15:00
48,Roi Et,1586926,475753,513781,480561,78201,38630,0,2022-03-05 23:15:00
49,Ranong,446902,171535,120885,123043,29760,1679,0,2022-03-05 23:15:00
50,Rayong,1939218,679832,453718,391140,360393,54135,0,2022-03-05 23:15:00
51,Ratchaburi,1274603,440764,292161,311186,176097,54395,0,2022-03-05 23:15:00
52,Lopburi,1039006,336684,302363,227358,154416,18185,0,2022-03-05 23:15:00
53,Lampang,1161498,352982,398931,254716,142524,12345,0,2022-03-05 23:15:00
54,Lamphun,822881,208454,252218,152442,162228,47539,0,2022-03-05 23:15:00
55,Loei,909846,330634,246380,279960,30496,22376,0,2022-03-05 23:15:00
56,Sisaket,1842523,610699,567539,522969,75379,65937,0,2022-03-05 23:15:00
57,Sakon Nakhon,1403317,456717,448382,377397,82857,37964,0,2022-03-05 23:15:00
58,Songkhla,2634784,702996,1093471,406403,344060,87854,0,2022-03-05 23:15:00
59,Satun,426313,152225,100176,153039,11645,9228,0,2022-03-05 23:15:00
60,Samut Prakan,4166383,1561170,855487,490479,1010249,248996,0,2022-03-05 23:15:00
61,Samut Songkhram,293369,106416,78545,64643,40326,3438,0,2022-03-05 23:15:00
62,Samut Sakhon,2141625,932072,289551,470285,401306,48411,0,2022-03-05 23:15:00
63,Sa Kaeo,733867,302415,188844,210568,7263,24767,10,2022-03-05 23:15:00
64,Saraburi,1235490,320989,269742,228474,330716,85569,0,2022-03-05 23:15:00
65,Sing Buri,320437,101221,98349,81944,26368,12555,0,2022-03-05 23:15:00
66,Sukhothai,809695,289056,185123,213431,116263,5822,0,2022-03-05 23:15:00
67,Suphan Buri,1155570,384195,352819,290225,93780,34551,0,2022-03-05 23:15:00
68,Surat Thani,2013612,713281,455754,534060,277255,32669,593,2022-03-05 23:15:00
69,Surin,1666148,606096,485644,504860,36435,33113,0,2022-03-05 23:15:00
70,Nong Khai,665744,284147,178754,177873,18023,6947,0,2022-03-05 23:15:00
71,Nong Bua Lamphu,583794,216245,179950,162645,5005,19949,0,2022-03-05 23:15:00
72,Ang Thong,411780,135648,151183,92225,19419,13305,0,2022-03-05 23:15:00
73,Amnat Charoen,490534,174980,151547,135064,17082,11861,0,2022-03-05 23:15:00
74,Udon Thani,2171371,669353,584409,583390,276497,57470,252,2022-03-05 23:15:00
75,Uttaradit,688265,257303,179846,204118,25482,21516,0,2022-03-05 23:15:00
76,Uthai Thani,450790,172448,117768,134090,16162,10322,0,2022-03-05 23:15:00
77,Ubon Ratchathani,2585757,840722,829793,671828,160759,82655,0,2022-03-05 23:15:00